TRAPX	TRAPY
57376	122144
57376	122176
57376	122208
57376	122240
57376	122272
57376	122304
57376	122336
57376	122400
57376	122368
57376	122432
57376	122464
57376	122496
57376	122528
57376	122560
57376	122592
57376	122624
57376	122656
57376	122688
57376	122720
57376	122752
57376	122784
57376	122816
57376	122848
57376	122880
57376	122912
57376	122944
57376	122976
57376	123008
57376	123040
57376	123072
57376	123104
57376	123136
57376	123168
57376	123200
57376	123232
57376	123264
57376	123328
57376	123264
57376	123296
57376	123360
57376	123392
