TRAPX	TRAPY
55744	114592
55552	114784
55680	115072
55520	115264
55616	115616
55776	115392
56032	114592
55904	114368
56224	114560
56128	114944
55872	114816
56128	115328
55936	115136
56320	115104
56352	115392
56960	112192
57088	112480
57152	112000
57280	112224
57312	111776
56832	112448
56960	112704
57216	112832
57152	115360
57280	115648
57152	115872
57248	116224
57536	112352
57440	112000
57728	112512
57664	112000
57376	112576
57568	112768
57792	112832
57728	115520
57632	115168
57344	115168
57472	115392
57504	114944
57760	115936
57568	115744
57408	116000
57920	115680
57856	115168
57984	116000
58784	110752
59264	110432
58944	110496
59168	109920
59360	110112
59136	110688
59328	110912
59008	110912
59168	111104
59360	111328
59072	114560
59232	114336
59296	113856
58944	114304
59328	114688
59200	114880
59584	110304
59776	110496
59456	110592
59616	110752
59520	111072
59456	113632
59872	113536
59680	113440
59488	113312
59680	114208
59584	113856
59776	113856
59488	114432
59424	114080
60896	109376
60704	109568
60832	109856
61056	109152
61184	109376
61120	110336
60992	110560
61024	109600
61280	109728
61120	109920
60928	110144
61312	110176
61344	110528
61152	110752
61472	109888
61472	113344
61664	113600
61728	113088
61472	113056
61696	114432
61856	114592
61504	114272
61440	113728
61824	114144
61600	113952
61824	113760
61760	116992
61920	116736
61824	117376
62432	110528
62400	110016
62432	109632
62304	110784
62336	111200
62016	114336
62112	114048
62240	114272
62144	114592
62368	114656
62336	113984
62112	113728
62240	116672
62336	116352
62080	116448
62112	116928
62432	116832
62304	117152
61984	117152
62752	110400
62528	110208
62784	110048
62624	109888
62624	110688
62784	110848
62688	111168
62944	110592
62496	111008
62528	111424
62560	113408
62784	113376
62496	113088
62688	113056
62464	114368
62656	113696
62784	114336
62912	114656
62560	116544
62592	116992
62752	116736
62496	117312
62752	117536
63008	114368
