TRAPX	TRAPY
59264	111264
59360	112352
59264	112096
59328	111776
59168	111680
59808	111200
59456	111488
59584	111232
59424	111008
59680	110976
59680	112064
59584	112352
59488	112064
59808	111680
59552	111744
60320	114432
60160	115488
60384	115488
60352	114880
60256	115168
60064	115104
60160	114688
60256	115744
60864	111424
60672	111232
60832	110976
60800	112288
60672	112032
60896	112032
60768	111712
60576	111648
60480	114624
60704	114592
60576	114368
60480	115136
60576	115456
60704	115104
60480	115744
61216	111136
60992	111168
61088	110912
61120	112000
60992	112288
61216	111648
60992	111680
61376	114304
61760	106368
61920	106112
61856	107424
61728	107200
61952	106592
61824	106880
61664	106784
61632	113632
61888	113568
61760	114336
61632	114112
61536	114368
61760	113856
61472	113888
61888	114688
61568	114944
61792	114944
61440	114688
61696	114688
61824	117312
61728	117600
61568	117504
61664	117088
61824	116832
61760	118144
61632	117920
61888	117888
62272	106304
62176	106048
62048	106336
62176	107168
62304	106784
62080	107456
62048	106848
61984	107168
62016	114304
61984	113824
62208	117504
62176	117024
61952	117568
61952	117056
62080	116768
62080	117888
61984	118176
63424	106208
63296	105952
63200	106240
63008	106144
63424	105696
63104	105728
63264	105472
63200	106784
63424	106784
63104	106560
63328	106528
63456	108800
63392	114432
63264	114176
63168	114464
62976	114368
63392	113920
63072	113952
63232	113696
63200	115008
63392	115040
63072	114784
63296	114752
63360	117632
63232	117376
63136	117664
62976	117568
63360	117120
63072	117152
63232	116896
63168	118208
63360	118208
63040	117984
63296	117952
63520	105408
63648	106144
63648	105664
63520	106528
63968	108064
63872	108352
63552	108384
63712	108128
63648	109440
63872	109440
63552	109184
63840	108832
63744	108576
63616	108864
63776	109184
63488	113632
63616	114368
63616	113888
63520	114752
63616	117568
63584	117088
63488	116832
63488	117952
64384	106400
64480	106080
64288	105984
64384	105568
64416	108416
64096	108448
64256	108192
64192	109504
64416	109536
64384	108928
64288	108672
64320	109248
64160	108928
64064	109440
64064	109152
64480	111200
64480	112032
64384	111616
64384	117376
64480	116960
64480	117760
64800	105280
64544	105312
64832	106368
64928	105984
64928	105504
64704	106048
64576	105792
64608	106368
64704	105536
64512	106656
64704	106656
64640	108384
64512	108128
64512	109248
64640	108864
64672	111424
64800	111168
64640	110944
64896	110880
64896	112000
64608	112256
64800	112288
64704	112000
64800	111680
64576	111712
64992	114560
64864	114336
64768	114592
64576	114528
64992	114080
64672	114112
64832	113856
64768	115168
64992	115168
64672	114912
64896	114912
64640	116704
64896	116640
64928	117728
64800	117408
64672	117184
64576	117440
64800	116928
64608	118016
64800	118016
64704	117760
65024	111136
65024	111616
65216	114528
65216	114048
65088	113792
65088	114912
65024	117376
65024	116896
60736	107360
60608	107136
60768	107040
