TRAPX	TRAPY
54144	114176
54176	114464
54144	114720
54208	114944
54528	113952
54272	113920
54720	113888
54656	114240
54400	114208
54432	114656
54368	114432
54624	114464
54368	114912
54720	114752
54592	115008
54816	113632
54848	114144
55104	114016
54944	113920
54848	114432
55072	114336
55200	114496
54944	114656
54848	114912
55104	114848
55104	117120
55104	117632
54880	117184
54976	116864
54944	117504
55168	116864
55136	117376
54912	117792
55168	117920
55392	117504
55392	117248
55424	116992
55648	116896
55616	117248
55648	117504
55328	117760
55424	118048
55584	117792
55680	118048
56192	114080
56096	113792
56256	114368
55968	114112
56064	114496
55840	114464
56064	115264
56192	114848
56224	115136
55968	114752
55936	115072
55808	116736
55840	117248
55936	116992
55904	117504
55872	117760
55936	118080
56704	114048
56320	113792
56736	114368
56576	114560
56448	114304
56480	113984
56320	114560
56416	114752
56576	115232
56416	115072
56768	115136
56768	114816
56672	117344
56736	116960
56768	117760
56896	114272
56896	114656
57216	116480
56960	116576
57152	117024
56928	117408
56896	117184
56960	117696
56960	116928
57216	116832
57216	117312
57184	117632
56992	118016
57280	117920
57664	116704
57440	116608
57696	117504
57440	117184
57408	117472
57664	117248
57696	116992
57440	116928
57632	117760
57440	117760
59872	115168
59872	115424
59872	115680
59616	115392
59616	115648
59392	115520
59872	116192
59872	115936
59616	116416
59616	115904
59616	116160
59392	116544
59392	115776
59392	116032
59392	116288
60160	115136
60160	115392
60160	115648
60160	116160
60160	115904
60416	115104
60416	115360
60416	115616
60416	116128
60416	115872
