TRAPX	TRAPY
48960	116064
48960	116448
48960	116832
48960	117216
48960	117600
49184	111904
49184	112288
49408	112128
49408	112512
49632	112192
49632	112576
49184	112672
49184	113056
49184	113440
49408	112896
49408	113280
49632	112960
49632	113344
49408	113664
49632	113728
49248	113888
49440	114048
49536	114400
49184	116032
49184	116416
49408	116704
49408	115936
49408	116320
49184	116800
49184	117184
49184	117568
49408	117088
49408	117472
49568	120800
49568	120032
49568	120416
49344	120064
49344	120448
49568	121184
49568	121568
49344	121216
49344	121600
49344	120832
49856	112480
49856	112128
49856	113504
49856	112864
49856	113888
49664	114112
49792	114464
49664	116576
49664	115808
49664	116192
49920	116608
49920	115840
49920	116224
49664	116960
49664	117344
49920	116992
49920	117376
49920	118144
50144	117984
50080	120768
50080	120000
50080	120384
49792	120064
49792	120448
50080	121152
50080	121536
49792	121216
49792	121600
49792	120832
50496	112416
50496	111648
50496	112032
50496	112800
50496	113184
50240	118944
50272	120736
50272	119968
50272	120352
50272	121120
50272	121504
51072	111392
50880	111360
51072	112160
51072	112544
51072	111776
50880	112128
50880	112512
50880	111744
50720	112384
50720	111616
50720	112000
51072	112928
50880	112896
50720	112768
50720	113152
50976	114752
50816	115104
51072	115392
50848	115648
51104	116000
51264	111552
51264	112320
51264	111936
51264	112704
51264	113088
51648	113696
51200	114976
51680	115328
51488	119136
51488	119520
51232	119072
51232	119456
51488	120288
51488	120672
51488	119904
51232	120224
51232	120608
51232	119840
51840	113344
51808	115680
51776	116320
52160	119104
52160	119488
51968	119776
51968	119008
51968	119392
51776	119104
51776	119488
52160	120256
52160	120640
52160	119872
51968	120160
51968	120544
51776	120256
51776	120640
51776	119872
52576	114016
52416	114432
52576	114752
52768	114368
53056	115296
53056	115680
52832	115296
52832	115680
53056	116064
53056	116448
52832	116064
52832	116448
53056	116832
52832	116832
52832	119584
52832	118816
52832	119200
53056	119040
53056	119424
52832	119968
52832	120352
53056	120192
53056	120576
53056	119808
53536	115392
53312	115264
53312	115648
53536	116160
53536	115776
53536	116544
53312	116032
53312	116416
53536	116928
53312	116800
53248	119040
53248	119424
53504	119712
53504	118944
53504	119328
53696	119648
53696	118880
53696	119264
53248	120192
53248	120576
53248	119808
53504	120096
53504	120480
53696	120032
53696	120416
53760	115232
53760	115616
53760	116000
53760	116384
53760	116768
54272	118208
54368	118688
54496	118336
54720	119776
54720	120544
54720	120160
54528	120672
54528	119904
54528	120288
54304	120736
54304	119968
54304	120352
54720	120928
54720	121312
54528	121056
54528	121440
54304	121120
54304	121504
55136	120608
55136	119840
55136	120224
54944	120768
54944	120000
54944	120384
55136	120992
55136	121376
54944	121152
54944	121536
