TRAPX	TRAPY
57632	114176
57632	114432
57632	114688
57632	114944
57632	115200
57856	114176
57856	114432
58048	114176
58048	114432
58272	114208
58272	114464
57856	114688
57856	114944
57856	115200
58048	114688
58048	114944
58048	115200
58272	114720
58272	114976
58272	115232
58208	116640
58208	117152
58208	117408
58208	117664
58208	116896
58176	119392
58176	119648
58176	119904
58176	120160
58176	120416
58464	114656
58464	114144
58464	114400
58464	114912
58464	115168
58848	116640
58656	116704
58432	116704
58848	117152
58848	117408
58848	117664
58848	116896
58656	117216
58656	117472
58656	117728
58656	116960
58432	117216
58432	117472
58432	117728
58432	116960
58400	119424
58400	119680
58624	119392
58624	119648
58400	119936
58400	120192
58400	120448
58624	119904
58624	120160
58624	120416
59200	113408
59200	113920
59200	114176
59200	114432
59200	113664
59072	116672
59072	117184
59072	117440
59072	117696
59072	116928
58880	119488
58880	119744
59104	119424
59104	119680
58880	120000
58880	120256
58880	120512
59104	119936
59104	120192
59104	120448
59392	113376
59392	113632
59616	113440
59808	113376
59808	113632
59392	113888
59392	114144
59392	114400
59616	113952
59616	114208
59616	114464
59616	113696
59808	113888
59808	114144
59808	114400
60032	113376
60032	113632
60032	113888
60032	114144
60032	114400
60128	118912
60128	119200
60000	119040
60896	117760
60768	117984
60768	119712
60864	119968
60960	118016
60960	119712
62400	113600
62400	114112
62400	114368
62400	114624
62400	113856
62400	116672
62400	117184
62400	117440
62400	117696
62400	116928
62432	119456
62432	119712
62208	119360
62208	119616
62432	119968
62432	120224
62432	120480
62208	119872
62208	120128
62208	120384
62656	113632
62880	114176
62880	114432
62880	113664
62880	113920
62656	114144
62656	114400
62656	114656
62656	113888
62880	114688
62848	116640
62848	117152
62848	117408
62848	117664
62848	116896
62624	117248
62624	117504
62624	116736
62624	116992
62624	117760
62848	119456
62848	119712
62624	119360
62624	119616
62848	119968
62848	120224
62848	120480
62624	119872
62624	120128
62624	120384
63296	114240
63296	114496
63296	113728
63296	113984
63072	114208
63072	114464
63072	113696
63072	113952
63296	114752
63072	114720
63296	116608
63072	116704
63296	117120
63296	117376
63296	117632
63296	116864
63072	117216
63072	117472
63072	117728
63072	116960
63040	119360
63040	119616
63040	119872
63040	120128
63040	120384
