TRAPX	TRAPY
51680	114112
51680	114144
51680	114176
51648	114208
51648	114240
51648	114272
51648	114304
51616	114336
51616	114368
51616	114400
51616	114432
51616	114464
51680	114208
51680	114240
51680	114272
51680	114304
51648	114336
51648	114368
51648	114400
51648	114432
51648	114464
51616	114496
51584	114528
51744	113888
51744	113920
51744	113952
51712	113984
51712	114016
51712	114048
51712	114080
51776	113888
51776	113920
51776	113952
51744	114016
51744	113984
51744	114048
51744	114080
51744	114112
51712	114112
51712	114144
51712	114176
