TRAPX	TRAPY
44256	95840
44416	96032
44160	96032
44160	96704
44320	96896
44224	97120
44064	96896
44320	96256
44512	96384
44416	96576
44768	95936
44928	96128
44672	96128
44672	96576
44576	96800
44832	96352
44864	96736
45024	96928
44928	97152
44768	96928
45312	100128
45408	99808
45088	100288
45184	99936
45440	100736
45504	101152
45344	100928
45472	100352
45248	100544
45120	101216
45056	100800
45504	101568
45312	101408
45376	101984
45088	101728
45344	101696
45760	96032
45920	96224
45664	96224
45824	96448
45824	96928
45984	97120
45728	97120
46016	96672
45888	97344
45600	100928
45696	101344
45664	101760
45568	101984
46496	96224
46112	96480
46272	96672
46176	96896
46400	96928
46560	97120
46304	97120
46560	96640
46400	96416
46464	97344
46656	96416
47584	98656
47488	98848
47392	98560
47296	99200
47232	98816
47328	99648
47168	100160
47104	99744
47104	99360
47520	99392
47520	99968
47232	100576
47360	100352
47456	101024
47520	100704
47744	98848
47648	99072
47968	98880
47936	99392
48096	99584
47840	99584
47712	100160
47648	99680
48096	100320
47968	99904
47872	100352
47776	100576
47616	100352
47712	100960
47968	100928
48128	99104
48192	100128
48352	99744
48320	99392
48256	100544
48160	100832
49600	101056
49632	101504
49600	102176
49600	102560
50144	98272
50080	98816
50016	98592
49920	98336
50112	101216
49856	101056
49760	101280
50080	102304
50016	101408
49824	101664
49984	101856
49888	102080
49728	101856
49696	102368
49856	102560
50624	94080
50528	94400
50432	98112
50432	99200
50592	98944
50592	98304
50496	98528
50336	98304
50176	98624
50336	98816
50240	99040
50592	99392
50336	99392
50176	102112
50272	101408
50176	101632
50368	101920
50304	102432
50752	94336
50688	98752
50848	98944
50752	99168
50912	98624
50752	98400
52160	99072
51872	99200
52032	98880
52192	99840
51968	100000
52128	100192
51872	100192
52032	99392
51936	99616
52192	100576
52032	100416
52256	98880
52416	99072
52320	99296
52288	99648
52448	99840
52352	100064
52288	100384
52448	100576
52352	100800
50624	94080
50528	94400
50752	94336
