TRAPX	TRAPY
57280	116960
57312	119392
57696	116320
57760	117504
57376	117408
57536	116800
57632	118624
57408	118016
57792	118080
57792	119776
57760	119040
57600	119296
57376	118912
57632	120384
57504	119840
58016	116352
58176	117600
58304	117056
57888	116928
58304	118176
58048	118272
58016	118720
58304	118784
58112	119200
58208	119776
58304	120736
58016	120256
58432	116416
58720	116192
58752	117664
58688	116992
58592	117600
58688	118240
58560	118752
58400	119296
58656	119360
58624	120672
58784	120224
58432	120256
58496	119936
59136	116416
59072	117696
59328	117152
58976	117216
59168	118688
59008	118240
59296	117984
58880	119744
59008	119264
58880	118816
