TRAPX	TRAPY
54720	119040
54656	119392
54816	118752
55104	118496
55072	119296
55296	118432
55392	117824
55584	119360
55936	118208
56000	118496
56096	118688
55968	118080
56096	119616
56288	118784
56160	119232
56032	118880
55872	119392
55904	119104
55840	119584
55872	118816
56768	117568
56576	117664
56352	117632
56416	117792
56768	117760
56448	118048
56672	117888
56384	119648
56736	118944
56800	119232
56704	120160
56448	120064
56768	119872
56544	119904
56928	117440
56992	117600
56928	118496
57280	118432
56960	117760
56992	118336
56928	119680
56896	119392
57056	119040
56960	118816
57152	119424
57312	119264
57312	118976
57088	119904
57536	117504
57696	117344
57376	117632
57536	118688
57632	118432
57344	118624
57664	119200
57536	119008
57632	119424
57856	117248
58240	117408
58208	119520
58048	119360
57888	119328
58656	117280
58528	117248
58400	117344
58528	117536
58464	117696
58656	117696
58560	117952
58560	117792
58464	117920
58688	118432
58656	119200
58624	118848
58752	119008
58848	118880
58784	118784
58688	119488
58720	119840
59040	118304
58944	118656
59296	117920
59104	117760
59008	118496
59232	118432
59360	117792
59200	117952
59360	118304
58880	118304
58912	119296
59552	117728
59552	117536
59456	117728
59456	118400
59744	118144
59488	117920
59584	118208

