TRAPX	TRAPY
56736	102208
56544	103360
56512	103008
56704	102784
56640	102496
56736	103200
56704	103584
57024	102368
57056	103392
56928	103008
56992	102720
57248	102624
56928	103648
57440	104160
57824	104928
57728	104768
58016	103520
58176	103552
58304	103712
57984	104928
58144	104928
58304	104928
58048	105120
58208	105120
57920	105696
58112	105568
58336	105600
58336	105888
58080	106016
58176	105824
58368	104704
58816	105408
58656	105408
58784	105184
58816	104800
58720	104608
58752	105632
58464	105728
58944	104384
59136	104256
59040	105408
59264	105376
59008	105152
58912	104960
59168	105728
59072	106048
59232	105920
59008	105600
58944	105856
59328	106144
59104	106304
59104	107168
59200	107392
59296	107200
59232	107008
58976	106976
59072	106720
59488	104256
59616	104064
59776	104128
59872	104320
59680	104352
59520	105376
59392	105152
59584	105024
59872	104768
59584	104512
59424	105696
59680	105696
59488	105888
59520	106176
59424	107424
59616	107360
59744	107200
59840	106976
59424	107072
59872	106752
59712	106880
59584	106976
59904	104544
