TRAPX	TRAPY
38240	114624
38240	114400
38432	114624
38432	114400
39360	113536
39360	113312
39264	114656
39072	114656
39264	114880
39072	114880
39136	116000
38944	116000
39136	115776
38944	115776
39552	113536
39552	113312
40320	114592
40128	114592
40320	114816
40128	114816
40832	118688
40832	118912
41024	118688
41024	118912
41856	119040
41856	118816
41856	120192
41664	120192
41856	119968
41664	119968
42240	117696
42048	117696
42240	117472
42048	117472
42048	119040
42048	118816
43392	110240
43392	110016
43264	118752
43072	118752
43264	118976
43072	118976
43200	121824
43008	121824
43200	121600
43008	121600
43584	110240
43584	110016
44448	110464
44448	110688
44448	120512
44256	120512
44448	120288
44256	120288
44320	122720
44128	122720
44320	122944
44128	122944
44992	108992
44800	108992
44992	108768
44800	108768
44640	110464
44640	110688
44864	112032
44672	112032
44864	111808
44672	111808
45504	121760
45312	121760
45504	121536
45312	121536
45920	110560
45920	110336
46112	110560
46112	110336
46496	124768
46304	124768
46496	124544
46304	124544
46944	113568
46752	113568
46944	113792
46752	113792
48000	112256
48000	112032
48000	113536
48000	113312
47968	115200
47776	115200
47968	114976
47776	114976
48192	112256
48192	112032
48192	113536
48192	113312
48512	127200
48512	126976
48960	113472
48960	113696
48704	127200
48704	126976
49568	104928
49568	104704
49152	113472
49152	113696
49760	104928
49760	104704
51072	103328
51072	103104
51040	104672
50848	104672
51040	104448
50848	104448
51136	106176
50944	106176
51136	105952
50944	105952
51264	103328
51264	103104
51488	119712
51296	119712
51488	119488
51296	119488
52544	104704
52352	104704
52544	104480
52352	104480
52640	118368
52640	118144
52576	121088
52576	120864
52928	107840
52736	107840
52928	107616
52736	107616
52832	118368
52832	118144
52768	121088
52768	120864
54112	107488
54112	107712
54144	109248
53952	109248
54144	109024
53952	109024
54080	119776
53888	119776
54080	119552
53888	119552
54016	122528
53824	122528
54016	122304
53824	122304
54560	106336
54368	106336
54560	106112
54368	106112
54304	107488
54304	107712
55264	121152
55072	121152
55264	120928
55072	120928
55232	123712
55232	123936
55552	107296
55360	107296
55552	107520
55360	107520
55488	111008
55296	111008
55488	110784
55296	110784
55424	123712
55424	123936
56640	109536
56640	109312
56672	112064
56480	112064
56672	111840
56480	111840
56576	122720
56384	122720
56576	122496
56384	122496
56832	109536
56832	109312
58048	110368
57856	110368
58048	110592
57856	110592
58816	114016
58624	114016
58816	113792
58624	113792
60864	116288
60672	116288
60864	116064
60672	116064
