TRAPX	TRAPY
38336	114528
39168	114784
39040	115904
39456	113440
40224	114720
40928	118816
41952	118944
41760	120096
42144	117600
43488	110144
43168	118880
43104	121728
44352	120416
44224	122848
44896	108896
44544	110592
44768	111936
45408	121664
46016	110464
46400	124672
46848	113696
48096	112160
48096	113440
47872	115104
48608	127104
49056	113600
49664	104832
51168	103232
50944	104576
51040	106080
51392	119616
52448	104608
52672	120992
52832	107744
52736	118272
54208	107616
54048	109152
53984	119680
53920	122432
54464	106240
55168	121056
55456	107424
55392	110912
55328	123840
56736	109440
56576	111968
56480	122624
57952	110496
58720	113920
60768	116192
