TRAPX	TRAPY
56448	125056
56480	125056
56512	125024
56480	125024
56448	125024
56544	125024
56576	125024
56608	125024
56640	125024
56672	125024
56704	125024
56736	125024
56768	125024
56800	125024
56416	125056
56384	125056
56352	125056
56416	125024
56416	124992
56448	124992
56480	124992
56512	124992
56544	124992
56576	124992
56672	124992
56640	124992
56608	124992
56736	124992
56704	124992
56768	124992
56800	124992
56832	125024
56864	125024
56896	125024
56928	125024
56960	125024
56992	124992
56992	125024
56960	124992
56928	124992
56896	124992
57024	125024
57056	125024
57088	125024
56832	124992
56864	124992
57056	124992
57024	124992
