TRAPX	TRAPY
50432	110272
50432	110528
50656	110368
50432	111040
50432	111296
50432	110784
50656	111136
50656	111392
50656	110624
50656	110880
50656	116672
50656	115904
50656	116160
50656	116416
50656	116928
50464	119552
50464	118784
50464	119040
50464	119296
50464	119808
50976	104864
50976	105120
50976	105376
50976	105632
50976	105888
50880	108320
50880	107552
50880	107808
50880	108064
51136	108480
51136	107712
51136	107968
51136	108224
50880	108576
51136	108736
50912	110304
50912	110560
51168	110400
50912	111072
50912	111328
50912	110816
51168	111168
51168	111424
51168	110656
51168	110912
50944	113600
50944	114368
50944	114624
50944	113856
50944	114112
50880	116704
50880	115936
50880	116192
50880	116448
51104	116032
51104	116288
51104	116544
50880	116960
51104	116800
51104	117056
50688	118752
51168	118752
50688	119520
50688	119776
50688	119008
50688	119264
50944	119616
50944	118848
50944	119104
50944	119360
51168	119520
51168	119776
51168	119008
51168	119264
50944	119872
51200	104960
51200	105216
51424	104896
51424	105152
51424	105408
51648	105024
51648	105280
51200	105728
51200	105984
51200	105472
51424	105664
51424	105920
51648	105792
51648	106048
51648	105536
51360	107808
51360	108064
51360	108320
51584	108512
51584	107744
51584	108000
51584	108256
51360	108576
51360	108832
51584	108768
51392	110496
51392	111264
51392	111520
51392	110752
51392	111008
51200	113632
51200	114400
51200	114656
51200	113888
51200	114144
51424	114592
51424	113824
51424	114080
51424	114336
51680	114432
51680	113664
51680	113920
51680	114176
51424	114848
51680	114688
51328	116096
51328	116352
51328	116608
51552	116160
51552	116416
51552	116672
51328	116864
51328	117120
51552	116928
51552	117184
51392	118624
51392	119392
51392	119648
51392	118880
51392	119136
51904	104928
51904	105184
51904	105440
51904	105696
51904	105952
51808	108448
51808	107680
51808	107936
51808	108192
51808	108704
51904	114496
51904	113728
51904	113984
51904	114240
51904	114752
52576	110304
52576	110560
52576	111072
52576	111328
52576	110816
52768	110368
53024	110464
52768	111136
52768	111392
52768	110624
52768	110880
53024	111232
53024	111488
53024	110720
53024	110976
53120	112992
53120	113248
53120	113504
52896	113184
52896	113440
53120	113760
53120	114016
52896	113952
52896	114208
52896	113696
53248	110560
53248	111328
53248	111584
53248	110816
53248	111072
53472	111424
53472	110656
53472	110912
53472	111168
53472	111680
53568	113088
53568	113344
53568	113600
53344	113088
53344	113344
53344	113600
53568	113856
53568	114112
53344	113856
53344	114112
53792	113184
53792	113440
53792	113952
53792	114208
53792	113696
