NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_mobeicaoyuan	1																		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		47808	103680		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		47776	105152		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48288	103264		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48128	104032		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48576	103904		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48480	104704		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48288	105504		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48800	103552		1		
金国追兵	0	5137	0	5	135	1	20	20	20	20	20	1		48800	105504		1		
素贞	0	5138	3	5	135	1	20	20	20	20	20	1		49280	102944		1		
明旸	0	5139	3	5	135	1	20	20	20	20	20	1		49184	102976		1		
明旸	0	5141	3	5	135	1	20	20	20	20	20	1		52288	102624		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		51008	103872		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		50912	103616		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		50688	104064		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		50784	104736		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		51232	104096		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		51648	105120		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		51648	104576		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		51296	105280		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52096	104544		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52032	105280		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52096	105856		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52256	104960		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52608	105440		1		
狂暴机关人	0	5149	0	5	135	1	20	20	20	20	20	1		52512	105920		1		
完颜风	0	5159	0	5	135	1	20	20	20	20	20	1		49248	104640		1		
不起眼的旧箱子	0	5160	3	5	135	1	20	20	20	20	20	1		53440	103488		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48032	103840		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48000	104960		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48448	103456		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48544	104544		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48352	105152		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48800	103744		1		
宋军精锐	0	5156	0	0	135	1	20	20	20	20	20	1		48640	105888		1		
山寨幻境	0	2525	4	5	90	1	20	20	20	20	20	1		47552	106112		1		
to_shanzhaimengjing1	1															\setting\map\map_info\shenshimengjing\trap\to_shanzhaimengjing1.txt			
灵壁泊	0	2525	4	5	90	1	20	20	20	20	20	1		53728	104192		1		
to_lingbipo2	1															\setting\map\map_info\shenshimengjing\trap\to_lingbipo2.txt			
