TRAPX	TRAPY
46432	106304
46432	106272
46464	106304
46496	106336
46464	106336
46496	106368
46496	106400
46528	106400
46528	106368
46496	106304
46464	106272
46400	106208
46400	106240
46432	106240
46304	105824
46304	105856
46304	105888
46336	105888
46336	105920
46336	105952
46336	105984
46368	105984
46368	106048
46368	106016
46368	106080
46400	106048
46400	106112
46400	106080
46400	106144
46400	106176
46432	106176
46432	106208
46336	105792
46336	105824
46336	105856
46368	105952
46368	105920
46400	105984
46400	106016
46432	106144
