TRAPX	TRAPY
51904	95488
52096	95648
52288	95776
52480	95488
52672	95712
53152	94176
53152	94560
53152	94944
53152	95328
53152	95712
53024	96992
52832	97248
53216	97312
53056	97504
53568	94144
53376	93920
53344	94336
53344	94720
53344	95104
53568	94528
53568	94912
53344	95488
53344	95872
53568	95296
53568	95680
53600	96096
53344	97856
53536	97760
53696	97536
53504	101600
53664	101856
53824	94432
53824	94816
53824	95200
54112	94816
54112	95200
53824	95584
53824	95968
54112	95584
54112	98592
54112	98976
53920	99264
53984	98976
54112	99360
54112	99744
54112	100128
53920	99648
53920	100032
53792	99424
53920	101824
54720	98784
54720	99168
54528	98528
54528	98912
54528	99296
54336	98592
54336	98976
54720	99552
54720	99936
54528	99680
54528	100064
54336	99360
54336	99744
54336	100128
54752	100992
55072	96416
55072	96800
55072	97184
55072	97568
55072	97952
54912	99008
55232	99552
54944	100864
55104	100640
55296	96384
55296	96768
55296	97152
55520	96480
55520	96864
55520	97248
55776	96704
55776	97088
55296	97536
55296	97920
55520	97632
55520	98016
55776	97472
55776	97856
55776	98240
55328	99200
55584	99072
56000	96608
56000	96992
56000	97376
56000	97760
56000	98144
56160	99744
56160	100128
55936	99648
55936	100032
56160	100512
56160	100896
56160	101280
55936	100416
55936	100800
55936	101184
56608	99968
56384	99904
56384	100288
56608	100352
56608	100736
56608	101120
56384	100672
56384	101056
56608	101504
56384	101440
56832	99744
56832	100128
56832	100512
56832	100896
56832	101280
