TRAPX	TRAPY
53696	123744
53728	123392
53728	124192
54144	120640
54208	121696
54240	121152
54112	121440
54112	120992
53920	123680
54208	123840
54016	123456
53888	123200
54240	123488
54144	123200
53824	124448
54112	124224
54016	124480
54016	123936
53824	123936
53920	124192
54656	117728
54752	118272
54624	118528
54624	118080
54720	118784
54400	120672
54304	120448
54656	120736
54560	120448
54528	121472
54432	121728
54336	120896
54432	121152
54336	121440
54624	121088
55264	115648
55264	115200
54816	117536
55072	117536
55040	118560
54848	118016
54944	118272
54848	118528
55136	118176
54944	117792
55168	117824
54944	118816
55456	114656
55712	114656
55680	115680
55488	115136
55584	115392
55392	115392
55488	115648
55776	115296
55584	114912
55296	114848
55360	115904
55584	115936
55776	120768
55648	120544
55488	120736
55552	121760
55776	121824
55680	120992
55776	121248
55584	121248
55680	121536
55456	121504
55456	121088
55808	114944
56224	117664
56288	118720
56192	118464
56192	118016
55904	120544
55872	121568
55968	121184
56000	120832
56512	117728
56384	117472
56640	117472
56608	118496
56512	118752
56416	117952
56512	118208
56320	118208
56416	118464
56704	118112
56736	117760
56800	121504
56800	121056
57088	120768
56992	120512
57248	120512
56832	120704
56896	121760
57216	121536
57120	121792
57024	120992
57120	121248
56928	121248
57024	121504
57312	121152
57344	120800
