TRAPX	TRAPY
59744	120640
60032	120384
60320	120160
60224	120896
60192	121504
60160	122208
60736	119712
60640	120288
60608	121408
60576	120864
60832	121728
60480	121984
60448	122688
60448	123424
60736	123040
61024	120160
61280	120704
61344	120064
60928	121024
61184	121472
60992	122464
61280	122176
60928	123584
61280	123552
61152	123104
61696	120384
61856	120768
61472	121216
61600	121792
61504	122688
61856	122528
61632	123424
61472	124032
61888	124352
62080	121152
62304	121600
61952	121920
62048	123296
62368	123072
62304	124064
62272	124704
62848	121184
62688	121728
62496	121088
62688	122816
62880	122176
62496	122336
62912	123328
62624	123552
63040	121536
