TRAPX	TRAPY
50880	100480
50880	100992
50880	101248
50880	100736
51104	100512
51104	101024
51104	101280
51104	100768
50880	101504
51104	101536
50944	112576
50944	112320
51168	112608
51168	112352
50944	112832
50944	113088
50944	113344
51168	112864
51168	113120
51168	113376
51392	100320
51296	100512
51296	101024
51296	101280
51296	100768
51488	100576
51488	101088
51488	101344
51488	100832
51648	100576
51648	101344
51584	100352
51296	101536
51488	101600
51648	101600
51296	104352
51296	104864
51296	105120
51296	105376
51296	104608
51552	105024
51552	105280
51552	104768
51552	104512
51552	105536
51424	107360
51616	107136
51296	108512
51360	108128
51552	107616
51360	107776
51296	109536
51296	109024
51296	109280
51296	108768
51520	108576
51520	109088
51520	109344
51520	108832
51520	109600
51392	112608
51392	112352
51584	112384
51392	112864
51392	113120
51392	113376
51584	112896
51584	113152
51584	113408
51584	112640
51776	104384
52000	104288
52192	104384
52192	104128
51808	104128
51776	104896
51776	105152
51776	105408
51776	104640
52000	104800
52000	105056
52000	105312
52000	104544
52192	104640
52192	105152
51744	107296
52064	107456
51744	108416
51968	108384
51744	108064
51744	107552
51744	107808
52032	108096
51968	107840
52192	107712
51744	109440
51744	108928
51744	109184
51744	108672
51968	109408
51968	108896
51968	109152
51968	108640
51808	112416
51808	112928
51808	113184
51808	113440
51808	112672
52672	101216
52672	100960
52672	101472
52672	101728
52672	101984
52288	107296
52224	108384
52416	107520
52416	108032
52416	108288
52416	107776
52224	108032
52224	109408
52224	108896
52224	109152
52224	108640
52416	108544
53088	101152
53088	100896
52896	100896
53088	101408
53088	101664
53088	101920
52896	101408
52896	101664
52896	101920
52960	102240
53504	101216
53504	100960
53280	101184
53280	100928
53504	101472
53504	101728
53504	101984
53280	101440
53280	101696
53280	101952
53280	104384
53280	104128
53504	104416
53504	104160
53280	104640
53280	104896
53280	105152
53504	104672
53504	104928
53504	105184
53760	104384
53760	104128
53952	104384
53952	104128
54176	104288
54176	104032
53760	104640
53760	104896
53760	105152
53952	104640
53952	104896
53952	105152
54176	104544
54176	104800
54176	105056
54144	107104
54144	107360
54144	106848
54144	106592
53952	107232
53952	107488
53952	106976
53952	106720
54144	107616
53952	107744
54592	106368
54368	107136
54368	107392
54368	106880
54368	106624
54592	106880
54592	107136
54592	107392
54592	106624
54368	107648
54784	106432
54784	106944
54784	107200
54784	107456
54784	106688
