TRAPX	TRAPY
51104	115392
51104	115424
51104	115456
51104	115488
51104	115520
51104	115552
51104	115584
51104	115616
51104	115648
51104	115680
51104	115328
51136	115328
51136	115360
51136	115392
51136	115424
51136	115456
51136	115488
51136	115520
51136	115552
51136	115584
51136	115616
51136	115648
51136	115680
51104	115712
51104	115744
51104	115776
51104	115808
51104	115840
51104	115872
51104	115904
51104	115936
51104	115968
51104	116000
51104	116032
51136	115712
51136	115744
51136	115776
51136	115808
51136	115840
51136	115872
51136	115904
51136	115936
51136	115968
51136	116000
51136	116032
