TRAPX	TRAPY
57216	117728
57184	117408
57184	118208
57152	118560
57152	119008
57408	117536
57728	117600
57600	116928
57376	117120
57792	117120
57600	117344
57568	118208
57568	117792
57600	118560
57792	118208
57376	118016
57696	119008
57408	119040
57760	126048
57728	126560
57760	127072
57920	117440
58144	117696
58208	118624
57856	118560
58048	118368
58240	117984
57984	117984
58016	118912
58336	122240
58176	122400
58176	122752
58208	123232
58176	125920
57952	126880
58144	126752
58176	126304
57952	126560
57952	126144
58304	126592
58304	126176
58112	127200
58336	127008
58400	118304
58368	122560
58528	122368
58688	122240
58688	122624
58528	122816
58496	122048
58528	123232
58368	123008
58688	123008
58528	126816
58528	126336
58880	122464
58880	122848
59616	125696
59808	125792
59616	126720
59808	126528
59584	126208
59808	126208
60032	125568
60160	125824
60000	126400
59968	126848
60032	125952
60192	126656
60384	126464
60160	126240
60384	125984
61344	121312
61344	121760
61312	120992
61152	121184
60992	121344
61184	121504
60992	121696
61344	122176
61024	122176
61184	121952
61504	121184
61696	121408
61504	121568
61696	121792
61504	121952
61664	125408
61632	125888
61856	125888
61856	125472
61664	126400
61856	126208
62080	125664
62080	125248
62208	125920
62208	125504
62432	125664
62048	126080
62016	126528
62240	126336
62432	126144
62912	117888
62752	118048
62944	118208
62752	118400
62944	118656
62784	118880
63072	117696
63104	118016
63264	117888
63456	118112
63264	118272
63104	118464
63264	118656
63456	118496
63104	118880
63456	120672
63296	120864
63136	121024
63328	121184
63136	121376
63328	121632
63168	121856
63488	120992
63648	120864
63840	121088
63648	121248
63488	121440
63648	121632
63840	121472
63488	121856
63904	126912
63904	126496
63488	126240
63488	126720
63712	126720
63712	126304
63936	126080
63520	127232
63712	127040
63872	127360
64064	126752
64064	126336
64288	126496
64096	127168
64288	126976
59808	119936
59776	120288
60000	120128
63968	123392
64096	123072
64224	123360
