TRAPX	TRAPY
52224	128608
51712	128608
51744	128608
51776	128608
51808	128608
51840	128608
51872	128608
51904	128608
51936	128608
51968	128608
52000	128608
52032	128608
52064	128608
52096	128608
52128	128608
52160	128608
52192	128608
52032	128576
52000	128576
51968	128576
51936	128576
51904	128576
51872	128576
51840	128576
51808	128576
51776	128576
51744	128576
51712	128576
51200	128608
51232	128608
51264	128608
51296	128608
51328	128608
51360	128608
51392	128608
51424	128608
51488	128608
51456	128608
51520	128608
51552	128608
51584	128608
51616	128608
51648	128608
51680	128608
51680	128576
51648	128576
51616	128576
51584	128576
51552	128576
51520	128576
51488	128576
51456	128576
51424	128576
51360	128576
51392	128576
51328	128576
51136	128608
51168	128608
