TRAPX	TRAPY
54688	107328
54688	107776
55072	106944
55168	106720
54944	106720
55136	107392
55232	107136
54912	107328
54784	107072
55264	107616
55008	108192
55104	107968
54880	107968
54976	107712
54816	107552
55680	99776
55776	99520
55488	107008
55360	106784
55360	107392
55584	107392
55488	107712
55712	109088
55680	109376
55776	109632
56128	99232
55808	100000
55904	99776
56032	99488
55968	100224
56192	100192
56288	99936
56096	99936
56256	99648
56000	100704
56096	100480
55872	100480
56160	100928
56256	100672
56192	109472
56160	108896
55936	108896
56032	108640
56288	108640
56032	109184
55936	109472
55936	110496
56032	110272
55808	110272
55904	110016
56224	109952
56096	109728
56416	100192
56320	100416
56448	100736
56320	101056
56352	109248
56480	109472
56480	109024
56320	109728
57248	99808
57216	100544
57056	103392
57088	103872
57184	103648
56960	103648
57248	104192
57312	109440
57280	109856
57664	99936
57760	99712
57536	99712
57632	99456
57344	99584
57568	100256
57344	100256
57440	100000
57504	99360
57472	100480
57728	101024
57824	100800
57600	100800
57696	100544
57344	100800
57536	101120
57504	103328
57536	103808
57632	103584
57408	103584
57760	104032
57376	104416
57472	104192
57344	103936
57664	104224
57696	104704
57792	104480
57568	104480
57824	108928
57536	109440
57408	109184
57760	109504
57696	109216
57504	108864
57696	108736
57440	109664
57376	110176
57632	110336
57504	110016
57632	109760
57824	109952
57856	100096
57856	100416
57888	104256
57984	104032
57856	103776
58016	106432
58176	106144
58272	105920
58336	107488
58208	107264
58304	107008
58304	106560
58048	106912
58144	106688
57920	106688
58016	109024
57952	109376
58176	109440
57984	109760
58144	109824
58688	105440
58400	106304
58688	106208
58784	105984
58560	105984
58656	105728
58848	105504
58464	105664
58752	107424
58848	107200
58624	107200
58720	106944
58432	107264
58432	106784
58528	106560
58944	105248
59264	106272
59360	106048
59136	106048
59232	105792
58976	106400
58976	105728
59072	105504
59008	106880
59104	106656
58880	106656
59872	107456
59872	108352
59744	108128
59840	107872
60256	107232
60352	107008
60128	107008
60224	106752
60096	107456
59968	107200
60128	108384
60288	108128
60384	107904
60160	107904
60256	107648
60000	107680
59968	108128
60160	108864
60256	108640
60032	108640
