TRAPX	TRAPY
50656	113952
50752	113984
50784	114016
50816	114048
50848	114080
50880	114112
50752	114016
50784	114048
50816	114080
50848	114112
50880	114144
50752	113952
50784	113984
50816	113952
50784	113952
50848	113984
50816	113984
50816	114016
50848	114048
50848	114016
50880	114016
50880	114048
50880	114080
50720	113984
50720	113952
50752	113920
50720	113920
50688	113952
50912	114048
50912	114080
50912	114112
50912	114144
50912	114176
50944	114176
50944	114144
50944	114112
50944	114080
50720	113888
50688	113920
50688	113984
50720	114016
50752	114048
50784	114080
50816	114112
50848	114144
50880	114176
50912	114208
