TRAPX	TRAPY
56128	104576
56160	104608
56192	104640
56224	104672
56128	104640
56160	104672
56256	104768
56128	104608
56160	104640
56192	104672
56288	104672
56096	104608
56096	104576
56096	104544
56192	104512
56224	104544
56288	104608
56160	104512
56160	104544
56160	104576
56192	104544
56192	104576
56192	104608
56224	104576
56224	104608
56224	104640
56128	104544
56224	104704
56288	104704
56256	104608
56256	104576
56192	104704
56288	104608
56224	104736
56224	104768
56256	104736
56256	104704
56256	104672
56256	104640
56288	104640
56288	104576
56320	104800
56320	104640
56320	104608
