TRAPX	TRAPY
56064	114656
56096	114656
56128	114656
56160	114624
56160	114656
56096	114624
56128	114624
56192	114624
56160	114592
56128	114592
56192	114592
56160	114560
56192	114560
56192	114528
56224	114528
56256	114496
56256	114528
56224	114496
56288	114464
56256	114464
56288	114432
56288	114336
56288	114368
56288	114400
56256	114432
56256	114400
56224	114464
56192	114496
56160	114528
56128	114560
56096	114592
56064	114624
56224	114432
56192	114464
56160	114496
56128	114528
56096	114560
56256	114368
56224	114400
56192	114432
56160	114464
55872	114304
56096	114688
56064	114688
56320	114496
56320	114464
56320	114400
56352	114400
56320	114432
56352	114400
56320	114368
