TRAPX	TRAPY
49536	113824
49344	113888
49536	114144
49344	114208
49504	114560
49312	114624
49472	114912
49280	114976
49728	113760
49728	114080
49696	114496
49952	113920
49920	114304
49664	114848
49888	114688
50624	107232
50432	107296
50624	107552
50592	107936
50560	108288
50368	108352
50432	107616
50400	108000
50208	108160
50208	107840
50816	107168
50816	107488
50752	108224
50784	107872
50976	107840
51040	112416
51168	113440
50976	113504
51040	112768
51008	113152
50848	113312
50848	112992
51424	112288
51232	112352
51360	113376
51424	112640
51392	113024
51232	112704
51200	113088
51616	112992
51552	116096
51552	116480
52064	107968
51840	108128
52032	108320
51840	108512
52192	108992
52000	109056
52032	108704
51840	108832
52160	115616
51968	115680
52000	115360
52192	115296
51776	115232
52160	116032
52128	116352
51936	116416
51968	116096
51744	116448
51776	115712
51744	116096
52128	116736
51936	116800
51712	116800
52448	107840
52256	107904
52416	108192
52224	108256
52384	108928
52416	108576
52224	108640
52352	115552
52384	115232
52576	115520
52576	115200
52320	116288
52352	115968
52544	115904
52320	116672
52544	116608
52544	116288
49440	111584
49312	111904
49536	111904
50688	110016
50912	110016
50816	109696
52256	110496
52480	110496
52384	110176
53216	110304
53440	110304
53344	109984
