TRAPX	TRAPY
52736	117920
52768	117952
52736	117952
52768	117984
52768	118016
52800	118016
52800	118048
52800	118080
52800	118112
52832	118080
52832	118112
52832	118144
52832	118176
52864	118112
52896	118144
52928	118176
52960	118176
52992	118176
53024	118176
53056	118176
53088	118176
52896	118176
52864	118176
52864	118144
52928	118144
52960	118144
53024	118144
53056	118144
53088	118144
53120	118176
53120	118144
52736	117888
52992	118144
53152	118176
53152	118144
53184	118176
53184	118144
53216	118176
53216	118144
53248	118176
53248	118144
53280	118144
