TRAPX	TRAPY
61376	104032
61760	103936
61984	103104
62240	103392
62048	104320
62016	103680
62304	104032
62400	104640
62080	104928
62336	105664
62880	103744
62560	103712
62720	104288
62496	105152
62752	104864
62944	105280
62912	106240
62560	106176
62784	105728
63200	103584
63168	104064
63424	104256
63168	104576
63200	104992
63456	104960
63328	106336
63552	103392
63840	103680
63552	103840
63808	104224
63904	107904
64352	106560
64480	107008
64160	107456
64192	108096
64416	107520
64352	108544
64768	106592
64864	107072
64704	107360
64736	108320
64544	108032
64832	107712
64608	109056
64928	108768
65152	107360
65184	108416
65024	107968
65152	109088
65024	109664
