TRAPX	TRAPY
58176	124864
58208	124864
58240	124864
58272	124832
58304	124832
58336	124832
58176	124832
58208	124832
58240	124832
58272	124800
58304	124800
58336	124800
58240	124800
58208	124800
58176	124800
58144	124864
58112	124864
58080	124864
58048	124864
58016	124832
58048	124832
58080	124832
58112	124832
58144	124832
58144	124800
58112	124800
58080	124800
58048	124800
58016	124800
58368	124832
58400	124832
58432	124832
58464	124832
58496	124832
58368	124800
58400	124800
58432	124800
58464	124800
58496	124800
58528	124832
58528	124800
58560	124832
58560	124800
