NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Mã Xa	0	4523	3	5	150	1	20	20	20	20	20	1		48992	92832		1		
Khấu Đông Lai	0	4497	3	5	90	1	20	20	20	20	20	1		46944	88480		1		
Doãn Tiêu Vũ	0	4496	3	5	120	1	20	20	20	20	20	1		48480	88960		1		
Đan Bích Tú	0	4505	3	5	120	1	20	20	20	20	20	1		48544	88960		1		
Gia Luật Sở Tài	0	4502	3	5	120	1	20	20	20	20	20	1		48672	89056		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48608	90528		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48576	90304		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48544	90784		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		49024	90016		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		49120	89888		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48928	89952		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48832	90080		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48992	89792		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48768	90624		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48768	90400		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48832	90272		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48928	90144		1		
Thích Khách Tiền Phong	0	4501	0	5	110	1	20	20	20	20	20	1		48704	90208		1		
Nhà hoang	0	2525	4	5	90	1	20	20	20	20	20	1		47904	88896		1		
to_huangwu	1															\setting\map\map_info\wanglongshan\trap\to_huangwu.txt			
Gia Luật Sở Tài	0	4506	3	5	120	1	20	20	20	20	20	1		47712	102848		1		
Doãn Tiêu Vũ	0	4508	3	5	120	1	20	20	20	20	20	2		48224	102144		1		
Chung Tráng	0	4509	3	5	50	1	20	20	20	20	20	1		44768	102336		1		
