TRAPX	TRAPY
54752	105824
54752	106176
54752	105472
54752	106880
54752	106528
54720	112288
54528	112576
54720	112640
54720	113344
54720	112992
54528	112960
54528	113376
54304	112832
54304	113248
55200	105376
54976	106048
54976	106400
54976	105696
55200	105728
55200	106080
55200	106432
54976	107104
54976	106752
55200	106784
55232	108480
55232	109536
55232	108832
55232	109184
55232	109888
54944	112384
55136	112480
54944	112736
54944	113440
54944	113088
55136	112832
55136	113536
55136	113184
55392	106080
55392	106432
55392	105728
55584	106400
55584	106080
55392	107136
55392	106784
55584	106752
55584	107456
55584	107104
55456	109120
55456	109472
55456	108768
55616	109216
55616	108864
55456	110176
55456	109824
55616	109568
55616	110272
55616	109920
55328	112576
55584	112608
55328	112928
55328	113632
55328	113280
55584	112960
55584	113312
55584	113664
55808	109312
55808	108960
56032	109344
56032	108992
55808	109664
55808	110368
55808	110016
56032	109696
56032	110400
56032	110048
56288	111360
56096	111232
56256	112416
56800	109088
56800	109440
56800	108736
56800	110144
56800	109792
56448	111584
56704	111712
56480	112640
56320	112896
57280	105440
57088	105440
57280	105792
57280	106144
56896	105824
56896	106176
56896	105472
57088	105792
57088	106144
57280	106496
57280	106848
56896	106528
56896	106880
57088	106496
57120	106816
57216	108512
57216	108864
57216	109216
57024	108960
57024	109312
57024	108608
57216	109920
57216	109568
57024	110016
57024	109664
56832	110528
57056	110400
57248	110304
57248	110656
56992	111584
57472	105344
57696	105440
57472	106400
57472	105696
57472	106048
57696	105792
57696	106144
57472	106752
57696	106496
57696	106848
57440	108544
57440	108896
57440	109248
57440	109600
57472	110336
57472	109952
