TRAPX	TRAPY
49088	114336
49088	114720
49344	110528
49568	110304
49344	111232
49344	110880
49344	111584
49568	110720
49568	111424
49568	111072
49344	111936
49568	111776
49568	112128
49568	112448
49632	113760
49632	114144
49632	114528
49280	114048
49280	114432
49472	113920
49472	114304
49632	114912
49632	115296
49280	114816
49280	115200
49472	114688
49472	115072
49472	115456
49312	115552
49504	115904
50016	107104
49792	110528
49824	110080
49792	111232
49792	111584
49792	110880
50016	111520
50016	111168
50016	110816
49792	111936
50016	112224
50016	111872
49824	112480
50048	112608
50048	112992
49824	114272
49824	115008
49824	115392
50048	115136
50048	115552
49792	114784
49824	115776
50208	106208
50368	106144
50560	106144
50208	106912
50208	107264
50208	106560
50368	106848
50368	107200
50368	106496
50560	106848
50560	107200
50560	106496
50560	107552
50400	107520
50272	111328
50272	110976
50272	110624
50528	111456
50528	111104
50528	110752
50272	112032
50272	111680
50528	112160
50528	111808
50304	112416
50304	112832
50592	115072
50592	115456
50592	115840
50592	116224
50592	116608
50752	106240
50944	106464
50752	106944
50752	107296
50752	106592
50944	107168
50944	106816
50752	107648
50944	107520
50944	107872
50752	111424
50752	111072
50752	110720
51008	111072
51008	111456
50752	112128
50752	111776
51008	111840
50784	113088
50944	113376
50784	115264
50784	115648
50976	115168
50976	115552
51168	115456
50784	115008
50784	116032
50784	116416
50976	115936
50976	116320
50976	116704
51168	115840
51168	116224
51168	116608
50784	116800
51584	109376
51392	109376
51584	109728
51584	110080
51584	110432
51392	110080
51392	109760
51392	115776
51392	116160
51392	116544
51616	116128
51616	116512
52000	106720
52000	107104
52000	107488
52032	109120
52032	109472
51808	109120
52032	109824
52032	110176
52032	110528
51808	109824
51808	110176
51808	110528
52576	105856
52576	106240
52416	106336
52224	106336
52448	105856
52576	106624
52576	107008
52416	106720
52416	107104
52224	107104
52224	107488
52224	106720
52416	107424
52576	107392
52640	108416
52416	109216
52224	109152
52224	109504
52416	109568
52416	109920
52416	110272
52224	109856
52224	110208
52224	110560
52704	111520
52544	111648
52544	112000
52544	112352
52704	111872
52704	112224
52704	112576
52288	112000
52288	112352
52544	112704
52544	113056
52704	112928
52288	112704
52768	105728
52768	106112
52992	106240
53216	106240
52768	106496
52768	106880
52960	106912
52928	106624
52864	108256
52864	108736
53056	108576
52928	111360
53152	111424
52928	111712
52928	112064
52928	112416
53152	111776
53152	112128
53152	112480
52928	112768
53152	112832
52736	113280
52928	113184
53632	106976
53632	107360
53632	107744
53632	108128
53632	108512
53312	110080
53440	110336
53248	110496
53856	106816
53856	107200
54048	107488
54048	106720
54048	107104
53856	107584
53856	107968
53856	108352
54048	107872
54048	108256
54144	109632
54112	109984
54112	110336
54112	111040
54304	106624
54304	107008
54592	106528
54592	106912
54624	107296
54304	107424
54304	107776
54304	108160
54592	107680
54592	108064
54720	109440
54528	109408
54720	109792
54720	110144
54528	109760
54528	110112
54528	110464
54368	109632
54336	109984
54336	110336
54752	110496
54720	110848
54528	110816
54336	110688
54336	111040
54944	109472
54944	109120
54944	109824
54944	110176
54976	110528
55136	109920
55776	110560
55552	110976
55808	111168
55968	110880
