TRAPX	TRAPY
49984	123232
50016	123232
49952	123232
50048	123264
50080	123264
50144	123296
50112	123264
50144	123264
49952	123200
49984	123200
50016	123200
50048	123232
50080	123232
50144	123232
50112	123232
50080	123200
50048	123200
50176	123296
50208	123328
50176	123328
50272	123360
50240	123360
50304	123360
50336	123392
50368	123392
50368	123360
50336	123360
50304	123328
50272	123328
50240	123296
50240	123328
50208	123296
50176	123264
50208	123264
50272	123296
50336	123328
50368	123328
50400	123360
50400	123328
