TRAPX	TRAPY
57312	119776
57312	120128
57312	120448
57184	120288
57120	119968
56992	119808
56992	120128
56864	119968
57120	120608
57216	120896
57440	120288
57440	119936
57824	120544
57696	120384
57696	120704
57568	120544
57344	120736
57600	120128
57472	120896
57344	121056
59840	118080
59840	118400
59712	118240
59808	118720
60288	118624
60160	118464
60032	118624
60288	118208
59968	118240
60160	119104
60160	118784
59968	118944
60832	113216
60832	113536
60704	113376
60544	113536
60608	113088
60480	112928
60480	113248
60672	113696
60544	113856
60544	118208
60416	118048
60416	118368
60416	118912
60960	113376
61312	113152
61184	112992
61184	113312
61056	113152
61344	113440
61216	113600
61376	112992
60928	113024
61056	113632
61344	113760
61376	115104
61344	115488
61184	115616
61216	116000
61344	115840
61408	116224
61088	115808
60928	115840
61056	116064
61216	116320
61824	115360
61696	115488
61632	115136
61536	115360
61504	115680
61888	115680
61696	116224
61536	116032
61856	116000
61696	115808
62912	113472
62816	113792
62688	113952
62848	114176
62848	114464
62656	114304
62784	114720
63168	113472
63040	113312
63040	113632
63360	113696
63360	114016
63232	113856
63296	114400
63168	114240
63168	114560
63040	114400
63008	113984
63008	114656
63488	113856
