TRAPX	TRAPY
61376	96480
61408	96864
61216	96672
61280	97088
61088	96896
61696	96096
61888	96288
61760	96480
61568	96288
61760	96864
61568	96672
61792	97248
61600	97056
61664	97472
61472	97280
62272	96672
62080	96480
62144	96864
61952	96672
61952	97056
62304	98080
62432	98880
62272	98720
62112	98528
62400	98496
62208	98304
62496	98272
62848	98272
62656	98080
62464	97888
62816	97856
62624	97664
62528	98976
62880	98656
62688	98464
62752	98848
62592	98688
63200	98240
63008	98048
63040	98464
63936	99072
63904	99424
63968	99808
63776	99616
63808	99968
64352	99168
64160	98976
64064	99200
64032	98816
64448	99584
64256	99392
64480	100000
64288	99808
64096	99616
64352	100192
64160	100000
64000	100160
64992	96640
64832	96864
64864	97248
64672	97056
64832	97632
64640	97440
64736	99552
64544	99360
64640	99776
65440	92128
65504	91360
65376	94784
65440	95104
65344	96640
65376	97024
65184	96832
65216	97248
65024	97056
65408	97440
65248	97632
65056	97440
65024	97824
65760	91264
65952	91456
66016	91904
65632	91520
65824	91712
65536	91808
65728	92000
65920	92192
66016	92704
65824	92512
65632	92320
65824	94176
66016	94176
65888	94592
65696	94400
65920	94976
65728	94784
65536	94592
65760	95168
65568	94976
65952	95360
65536	95328
65728	97024
65536	96832
65568	97216
65888	96864
65696	96608
66336	91840
66144	91648
66208	92096
66528	92032
66112	92384
66464	92320
66336	92576
66400	94752
66208	94560
66272	94976
66080	94784
66112	95168
66400	94528
66080	94432
