TRAPX	TRAPY
56160	114496
56256	115008
56064	114848
56448	114432
56736	114464
56576	114176
56480	113856
56320	114144
56672	115008
56576	114688
56480	114976
56320	114688
56736	115360
56480	115328
56960	114528
57760	109536
57792	109152
57600	109056
57728	108640
57760	112192
57600	112480
57664	113600
57728	112800
57760	113312
57536	113344
57600	113056
57440	112832
58304	105376
58208	104832
57920	108448
58144	108224
58304	108480
57952	109376
58016	108960
58176	109248
57888	108768
58240	108864
58112	108608
57888	109760
58080	109600
58112	112448
57856	112512
57984	112192
57856	113600
57984	113344
57856	113056
58016	112800
58752	102144
58624	101888
58496	102144
58816	101632
58400	102464
58816	102912
58656	102560
58528	102816
58752	104192
58528	104192
58720	105376
58624	105056
58496	104800
58528	105312
58784	104800
58624	104512
58368	105056
58368	104512
58432	105632
58592	105632
58752	111296
58816	111808
58912	101920
59008	102304
59168	102048
59040	101632
59040	102848
59200	102496
58880	102560
58880	104448
59168	111520
59040	111264
59328	111264
59168	110976
59264	110656
59072	110656
58912	111520
58880	110944
58944	112064
59136	112064
59264	111808
59072	111776
59680	100128
59808	99712
59808	99360
59808	100352
59808	104960
59648	105312
59872	106080
59808	105504
59712	105792
59776	108160
59648	107904
59680	108448
59776	107648
59456	108480
59520	108160
59520	107616
59424	107968
59392	110912
59936	100096
60320	99776
60064	99840
60192	99520
60320	100160
60000	99488
60288	100864
60160	100416
60064	100672
60128	101024
60128	104320
60352	105056
59936	105248
60224	105280
60064	104992
60192	104672
59968	104672
60064	105504
60320	105600
60128	106112
60160	105824
59904	105824
59904	107360
59904	108480
60032	107584
59936	107936
60096	108288
60160	107872
60256	108192
60384	113760
60416	100544
60512	105344
60864	104992
60800	105344
60640	105056
60736	104736
60544	104736
60640	104512
60736	105920
60640	105600
60544	105856
60800	113440
60896	113120
60704	113120
60512	113408
60576	114528
60768	114528
60896	114272
60800	113952
60672	113696
60704	114240
60448	114272
60544	113952
61312	108416
61120	108480
61376	109536
61248	109280
61312	108960
61152	108768
61312	111328
61376	112448
61248	112192
61312	111872
61152	111680
61024	113376
60960	113728
61824	108352
61696	108096
61472	108128
61568	109536
61696	109280
61568	108960
61440	108704
61472	109248
61728	108736
61824	111296
61568	111360
61696	111040
61472	111040
61536	112448
61664	112192
61568	111872
61440	111616
61472	112160
61728	111648
62304	103264
62368	104384
62432	103552
62240	104128
62304	103808
62144	103616
62336	106304
62432	106816
62432	113024
62816	103232
62560	103296
62688	102976
62464	102976
62528	104384
62656	104128
62560	103808
62464	104096
62720	103584
62624	106272
62912	106272
62752	105984
62880	105664
62656	105664
62496	105952
62560	107072
62752	107072
62880	106816
62752	106528
62656	106784
62496	106528
62944	109184
62752	112384
62848	113248
62720	112992
62752	113504
62848	112704
62528	113568
62592	113248
62592	112704
62656	113824
62848	113824
63008	105920
63360	109408
63232	109152
63360	108864
63264	108544
63104	109408
63104	108864
63168	109984
63328	109984
63456	109728
63264	109664
63040	109728
62976	112384
62976	113568
63104	112640
63008	112992
63616	108800
63520	109152
63488	108544
57344	110720
57536	110976
57376	111072
58784	100128
58912	100384
59264	113152
59488	113024
59520	113376
59520	113760
60672	110464
60480	110496
60608	110720
