TRAPX	TRAPY
52352	116064
52544	116064
52448	115904
52480	116288
52320	116288
52672	116288
52608	116480
52864	116288
52800	116480
52992	116480
53152	116576
52800	116736
53632	115296
53664	115616
53280	116704
53312	116896
53312	117120
53408	117024
53408	116800
54240	115232
54048	115328
54208	115520
54080	115104
53856	115168
54048	115584
54432	115392
54400	115072
54304	115008
54528	114880
54656	114688
54720	114944
54624	115296
54656	118400
54656	118176
54656	117952
54528	118080
54752	118080
54528	118336
54528	117888
54784	118304
54880	118208
55104	118080
55104	117888
55232	117984
55200	117760
55264	118176
55360	117792
55424	118080
56800	119744
56640	119712
56704	119936
56960	119776
57056	120000
57216	120000
57152	120192
57312	120224
57280	120384
57024	120160
56992	120352
56928	120032
56832	119936
57376	120000
57344	119840
57472	120352
57504	120192
58304	116224
58432	116096
58432	116320
58400	116544
58560	116256
58560	116544
58496	116736
59264	116480
59264	116224
59360	116000
59168	116064
59136	116352
59520	116576
59392	116384
59392	116608
59488	116800
61376	113824
61888	105248
61664	105632
61760	105472
61920	105472
61824	105664
61888	105920
61824	106144
61760	108512
61888	108512
61792	108864
61728	108704
61856	108672
61824	109088
61792	109280
61696	109184
61568	109120
61504	108960
61600	108800
61632	108608
61792	113856
61856	114112
61664	114048
61568	113856
61472	114048
62080	105344
62080	105568
61984	105792
62016	108608
62144	108672
62112	108832
62368	111968
62400	112192
61984	113920
62080	114080
62240	113888
62272	114112
62400	113728
62432	114016
62880	111552
62688	111968
62592	111840
62720	111648
62880	111904
62816	112192
62656	112192
62496	112032
62528	112320
62528	113600
62528	113824
63424	110112
63392	110368
63456	110656
63296	110688
63392	110976
63296	111072
63424	111328
63456	118272
63456	118048
63456	117824
63424	118560
63328	118208
63264	118496
63328	118016
63296	117760
63168	118304
63200	118080
63168	117856
63104	118528
63520	110400
63616	117952
63648	118176
63584	118464
63744	118400
