NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Thạch Hiên Viên	0	30	3	5	150	1	20	20	20	20	20	1		47392	94880		1		
Cầu Chỉ Thủy	0	31	3	5	90	1	20	20	20	20	20	1		47264	95008		1		
La Phong	0	32	3	5	90	1	20	20	20	20	20	1		47520	94752		1		2
Môn đồ Không Động	0	33	3	5	60	1	20	20	20	20	20	1		47680	95424		1		0
Môn đồ Thanh Thành	0	34	3	5	60	1	20	20	20	20	20	1		47584	95520		1		
Môn đồ Tích Lịch Hỏa Lôi	0	35	3	5	60	1	20	20	20	20	20	1		47488	95616		1		
Đệ Tử Chấp Sự Cái Bang	0	36	3	5	60	1	20	20	20	20	20	1		48736	92192		1		
Tô Hữu Tưởng	0	43	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	50016	96992		1		3
Củng Thiếu Trăn	0	50	3	5	90	1	20	20	20	20	20	1		45952	87584		1		3
La Phong	0	51	3	5	90	1	20	20	20	20	20	1		45824	87680		1		2
Lãnh Thu Vân	0	52	3	5	90	1	20	20	20	20	20	1		46112	87680		1		
Bạch Hổ Vương	0	57	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	43296	92160		1		
Gấu Đen	0	59	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	45344	90080		1		
Sài Cẩu	0	60	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	45248	88768		1		
La Phong	0	66	3	5	90	1	20	20	20	20	20	1		47424	97152		1		2
Đệ Tử Thủ Sơn	0	48	3	5	60	1	20	20	20	20	20	1		46112	92736		1		
Trác Hành Phương	0	330	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	48032	86240		1		
Tiêu Nhất Phàm	0	331	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	48192	87072		1		
Chư Trường An	0	332	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	48576	86400		1		
