TRAPX	TRAPY
41408	96064
41440	95744
41312	103936
41216	104256
41408	104416
41280	104992
41312	104672
41088	104864
41152	104544
41760	91872
41952	92032
41856	91552
41824	92608
41856	92288
41632	92480
41664	92160
41600	95136
41568	96192
41952	95488
41536	95456
41696	95616
41792	95328
41888	95808
41600	95904
41824	96064
41952	96256
41760	96352
41664	104288
41504	104128
41824	104448
41664	105056
41600	104576
41536	104832
41728	104800
41472	105120
42368	92064
42208	91904
42016	91744
42208	92672
41984	92736
42272	92416
42112	92192
42048	92448
42112	95648
42016	96032
42336	97984
42304	99040
42144	98912
42432	98464
42336	98720
42176	98592
42272	98304
42240	101184
42432	101376
42336	101664
42464	102080
42144	101504
42240	101920
42016	102112
42080	101792
42400	102368
42208	102240
42528	98176
42496	99168
42688	99104
42624	98624
42560	98880
42848	98496
42784	98848
42688	98336
42592	101536
42752	101696
42528	101824
42656	102080
42592	102304
42784	87968
42784	87648
42912	90208
42816	96192
42976	96480
43136	88768
43296	88960
43168	89120
43136	90240
43008	90560
43040	96160
44000	97984
43808	97984
43904	98240
43904	97728
43520	101696
43648	101920
43776	102080
43616	101376
43936	101856
44000	101600
43904	101312
43680	100832
44000	100960
43776	101120
