TRAPX	TRAPY
46368	95200
46368	95168
46368	95136
46560	95488
46528	95456
46496	95424
46464	95392
46432	95360
46400	95328
46368	95296
46560	95456
46528	95424
46496	95392
46464	95360
46432	95328
46400	95296
46368	95264
46368	95232
47072	96000
47040	95968
47008	95936
46976	95904
46944	95872
46912	95840
46880	95808
46848	95776
46816	95744
46784	95712
46752	95680
46720	95648
46688	95616
46656	95584
46624	95552
46592	95520
47072	95968
47040	95936
47008	95904
46976	95872
46944	95840
46912	95808
46880	95776
46848	95744
46816	95712
46784	95680
46752	95648
46720	95616
46688	95584
46656	95552
46624	95520
46592	95488
47296	96224
47264	96192
47232	96160
47200	96128
47168	96096
47136	96064
47104	96032
47296	96192
47264	96160
47232	96128
47200	96096
47168	96064
47136	96032
47104	96000
