TRAPX	TRAPY
58240	105920
58304	106464
58176	106240
58208	106784
58048	106528
58176	107072
58016	106880
58208	111488
58272	111136
58080	111264
58336	112224
58240	111968
58336	111648
58112	111808
58560	105920
58784	105920
58688	105664
58720	106336
58432	106208
58400	105728
58528	105472
58560	106528
58720	106784
58592	106976
58464	106784
58368	107072
58848	106656
58816	108928
58784	109408
58592	111136
58816	111136
58720	110880
58752	111552
58464	111392
58432	110944
58528	110720
58656	111968
58528	112224
58560	111648
58464	111936
59200	104288
59296	103968
59168	103808
59232	103456
59104	104064
59296	104544
59136	109408
59360	109408
59264	109152
59136	108928
59008	109312
59328	108672
59168	109952
59072	109696
59360	109984
59296	109664
58880	109760
59008	110048
59232	110240
58912	111424
58880	111904
59680	103200
59392	103264
59520	103008
59648	104288
59552	103456
59776	103456
59712	103872
59520	103968
59424	104256
59424	103712
59872	104096
59520	104544
59872	106304
59776	106112
59840	105760
59872	106880
59776	106624
59392	108864
59616	108864
59520	108608
59584	109280
59552	109664
59904	103232
59968	103712
60096	105440
60128	105760
60352	105760
60256	105504
60320	106176
60096	106304
60000	106048
60000	105568
60224	106624
60096	106880
60032	106560
60320	106912
60512	106080
60512	105568
60448	106560
60800	109312
60640	109120
60480	109312
60864	110176
60544	110400
60448	110144
60736	110432
60544	109856
60768	109856
60672	110112
60672	109600
60416	109664
61024	109312
60928	109056
61120	108960
61312	109248
60960	109728
61184	109568
61152	110080
61056	110432
