TRAPX	TRAPY
55776	123040
55776	123072
55776	123008
55744	123040
55744	123040
55744	123008
55808	123040
55840	123040
55872	123040
55904	123040
55936	123040
55968	123040
56000	123040
56064	123040
56064	123040
56032	123040
56096	123040
56128	123040
56160	123072
56160	123040
56192	123040
56224	123072
56224	123040
56192	123072
56128	123072
56096	123072
56064	123072
56032	123072
56000	123072
55968	123072
55936	123072
55904	123072
55840	123072
55808	123072
55840	123072
55872	123072
55808	123008
55840	123008
55872	123008
55904	123008
55936	123008
55968	123008
56000	123008
56032	123008
56064	123008
56096	123008
56160	123008
56128	123008
56192	123008
56224	123008
56256	123008
56288	123008
56256	123040
56288	123072
56288	123040
56224	123072
56256	123072
