TRAPX	TRAPY
53088	120160
53056	120448
53216	120672
53344	119776
53248	119968
53312	120448
53440	120224
53504	120000
53504	120640
53600	120384
53728	120160
53376	120896
53536	121056
53632	120832
53792	120512
54240	122144
54240	122528
54336	121824
54720	121984
54432	122240
54656	122272
54432	122592
54624	122656
54528	121920
55200	119008
55008	119008
54816	119008
55168	119360
55008	119360
55200	119776
55040	119776
54784	119776
54816	120064
55040	120096
55232	120128
55072	121920
54912	121920
54880	122304
55072	122240
54848	122688
55040	122624
55360	119008
55392	119360
55392	119776
55424	120128
56768	118816
56768	119456
56768	119744
56768	119104
56992	118592
57216	118560
56992	118880
56992	119200
56992	119488
57184	119392
57216	118848
56992	119840
57120	121760
57120	121440
57120	121184
57120	122368
57120	122080
57408	118368
57408	119168
57408	118816
57376	121728
57376	121472
57344	121184
57568	121216
57568	121440
57568	121760
57376	122304
57376	122048
57568	122048
57568	122336
