TRAPX	TRAPY
55712	115200
55776	115840
55584	116064
55712	116480
56000	115488
56192	115808
55968	116416
56128	116608
56064	116928
56224	117184
56288	116832
56608	116224
56480	115968
56704	118016
57216	116448
56896	116608
56864	117632
57152	117696
57280	117408
57248	117088
57024	116960
57824	104640
57728	105088
57664	105504
57792	110112
57824	110656
57472	110592
58016	104640
57952	105312
58304	109536
58048	109568
58176	110560
58240	110208
57856	110976
58720	110208
58528	109568
59264	103776
59296	104064
59040	103872
58880	104800
58880	105088
59104	105088
58880	105856
59360	109472
59040	110112
59552	104672
59744	104576
59584	105024
59744	105984
59712	109472
59872	109984
59456	110080
60032	105344
60224	105152
60288	105664
60224	107072
60032	106496
60096	110208
60128	109792
60480	105408
60608	106368
60864	106560
60576	107232
