TRAPX	TRAPY
51584	105760
51264	106240
51552	106528
51296	107040
51584	108192
51520	107680
51488	110016
52064	105888
52096	106624
51744	107200
51872	107808
52000	108416
51744	110528
52000	110144
52224	105184
52608	105152
52480	105856
52448	106240
52672	107040
52384	107872
52448	108576
52416	110528
52608	110400
52864	105600
52960	106368
53088	106976
53152	108192
52800	109632
53024	109856
52800	110816
53088	111008
53408	104768
53696	104800
53344	105216
53568	105376
53472	105728
53696	105760
53632	106176
53600	106688
53696	107168
53536	107712
53664	108096
53472	108096
53344	108224
53472	108576
53248	108544
53344	109024
53568	109216
53248	110240
53536	109632
53632	110048
53824	105280
53792	107616
53824	109760
51680	106112
52000	107264
51776	105440
