TRAPX	TRAPY
57792	101664
57568	102176
57600	102752
57664	103424
57600	104096
57728	104672
57568	105216
57792	105824
57728	106720
58112	101408
58112	101920
57856	102208
58240	103264
58208	102528
57888	103104
57952	104320
57856	103712
58144	103936
58176	105312
58080	104736
57856	105344
58208	106336
57888	106336
58144	105824
58304	106784
58016	107008
58720	101152
58368	101088
58656	101664
58368	101568
58400	102144
58848	102272
58464	102688
58784	102880
58592	103424
58528	104128
58432	105600
59296	101280
58976	101536
59232	101984
59168	102496
59072	103136
58880	103776
59168	104192
58880	104416
59360	103552
59584	100992
59520	102208
59520	101664
59456	102976
