TRAPX	TRAPY
58336	91360
58304	91360
58304	91392
58272	91392
58272	91424
58240	91424
58240	91456
58208	91456
58208	91488
58176	91488
58176	91520
58144	91520
58144	91552
58112	91520
58112	91584
58080	91584
58080	91616
58048	91616
58048	91648
58016	91648
58016	91680
57984	91680
57984	91712
57952	91712
57952	91744
57920	91744
57952	91680
57920	91712
57920	91776
58144	91584
58112	91616
58176	93504
58208	93536
58208	93568
58240	93568
58240	93600
58272	93600
58272	93632
58304	93632
58304	93664
58336	93664
58336	93696
58208	93504
58368	93696
58368	93728
58400	93728
58400	93760
58432	93760
58432	93792
58464	93792
58464	93824
58496	93824
58496	93856
58528	93856
58528	93888
58560	93888
58560	93920
58592	93920
58592	93952
58624	93952
58624	93984
60896	93824
60896	93856
60864	93856
60864	93888
60832	93888
60832	93920
60800	93920
60800	93952
60768	93952
60768	93984
60736	93984
60736	94016
60704	94016
60704	94048
60672	94048
60672	94080
60640	94080
60640	94112
60608	94112
60608	94144
60576	94112
60576	94144
60576	94176
60544	94176
60704	94016
60544	94208
60512	94208
60512	94240
60480	94240
60480	94208
60480	94272
