TRAPX	TRAPY
45536	118240
45504	118272
45472	118304
45440	118336
45408	118368
45376	118400
45344	118432
45312	118464
45280	118496
45248	118528
45216	118560
45248	118560
45280	118528
45312	118496
45344	118464
45376	118432
45408	118400
45440	118368
45472	118336
45504	118304
45536	118272
45600	118176
45568	118208
45568	118240
45600	118208
45632	118176
45632	118144
46880	118752
46848	118752
46848	118720
46912	118784
46944	118816
46976	118848
47008	118880
47040	118912
47072	118944
47072	118976
47040	118944
46976	118880
47008	118912
46944	118848
46912	118816
46880	118784
47104	118976
47136	119008
47168	119040
47200	119072
47232	119104
47264	119136
47232	119136
47264	119168
47200	119104
47168	119072
47136	119040
47104	119008
47584	120992
47552	121024
47520	121056
47488	121120
47488	121088
47456	121120
47424	121152
47392	121184
47424	121184
47392	121216
47456	121152
47520	121088
47552	121056
47584	121024
47776	120800
47808	120800
47808	120768
47840	120800
47744	120832
47712	120864
47680	120896
47648	120928
47616	120960
47616	120992
47648	120960
47680	120928
47712	120896
47744	120864
47776	120832
