NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
houying1_daying1_1	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\houying1_daying1_1.txt			
houying1_daying1_2	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\houying1_daying1_2.txt			
daying1_houying1	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\daying1_houying1.txt			
daying1_yewai	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\daying1_yewai.txt			
houying3_daying3_1	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\houying3_daying3_1.txt			
houying3_daying3_2	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\houying3_daying3_2.txt			
daying3_houying3	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\daying3_houying3.txt			
daying3_yewai	1															\setting\map\map_info\zhanchang_shangu_xiangyang\trap\daying3_yewai.txt			
Chiến thương của lão binh	0	1623	3	5	1	1	20	20	20	20	20	1		55104	110432		1		
Người Liên Lạc Thương Hội	0	2962	3	5	1	1	20	20	20	20	20	1		55232	109344		1		
