TRAPX	TRAPY
70112	108736
70112	108768
70112	108800
70144	108768
70176	108800
70208	108832
70240	108864
70272	108896
70304	108928
70336	108960
70368	108992
70400	109024
70432	109056
70464	109088
70496	109120
70528	109152
70144	108800
70176	108832
70208	108864
70240	108896
70272	108928
70304	108960
70336	108992
70368	109024
70400	109056
70432	109088
70464	109120
70496	109152
70528	109184
70144	108832
70176	108864
70208	108896
70240	108928
70272	108960
70304	108992
70336	109024
70368	109056
70400	109088
70432	109120
70464	109152
70496	109184
70528	109216
