TRAPX	TRAPY
48544	110560
48576	110528
48608	110496
48608	110528
48576	110560
48320	110784
48352	110752
48416	110720
48384	110720
48416	110688
48448	110656
48480	110624
48352	110784
48320	110816
48384	110752
48448	110688
48480	110656
48512	110592
48512	110624
48544	110592
48640	110464
48704	110432
48672	110432
48704	110400
48672	110464
48640	110496
49440	110432
49472	110464
49504	110496
49536	110528
49568	110560
49408	110432
49440	110464
49472	110496
49504	110528
49536	110560
49408	110400
49600	110592
49632	110624
49568	110592
49600	110624
49632	110656
49664	110656
49696	110688
49728	110720
49760	110752
49792	110784
49664	110688
49696	110720
49728	110752
49760	110784
49792	110816
50368	111360
50400	111392
50432	111424
50464	111456
50496	111488
50528	111520
50560	111552
50592	111584
50560	111584
50528	111552
50496	111520
50464	111488
50432	111456
50400	111424
50368	111392
50336	111360
50336	111328
50624	111616
50656	111648
50656	111680
50624	111648
50592	111616
50688	111680
50720	111712
50752	111744
50688	111712
50720	111744
51168	113472
51136	113504
51104	113536
51072	113568
51040	113600
51008	113632
51168	113440
51136	113472
51104	113504
51072	113536
51040	113568
51008	113600
50976	113632
51168	113504
51136	113536
51104	113568
51072	113600
51040	113632
50976	113664
50944	113696
50944	113664
51008	113664
50976	113696
50944	113728
51232	112224
51264	112256
51296	112288
51328	112320
51360	112352
51392	112384
51424	112416
51456	112448
51488	112480
51520	112512
51552	112544
51200	112192
51232	112192
51200	112160
51264	112224
51328	112288
51296	112256
51360	112320
51392	112352
51424	112384
51456	112416
51488	112448
51520	112480
51552	112512
51584	112544
51584	112576
51232	112160
51264	112192
51296	112224
51328	112256
51360	112288
51392	112320
51424	112352
51456	112384
51488	112416
51520	112448
51552	112448
51584	112480
51616	112512
51328	113312
51296	113344
51264	113376
51232	113408
51232	113440
51200	113440
51296	113312
51264	113344
51232	113376
51200	113408
51328	113344
51360	113312
51296	113376
51264	113408
51200	113472
