TRAPX	TRAPY
61408	119072
61472	118496
61792	118656
61856	119456
61728	119808
62400	115904
62208	116320
62400	116736
62400	119552
62144	119296
62048	118912
62816	116224
62560	116288
62752	115872
62848	117120
62720	117568
62688	116736
62464	117184
62688	117120
62880	118016
62784	118528
62592	118016
63264	116672
63328	116192
62976	116608
63104	116064
63264	117568
63456	117088
63104	117088
62976	117600
62976	116928
63456	118400
63264	118720
63136	118016
63008	118400
63488	116544
63872	117376
63712	116928
63616	117440
63968	118592
63776	118208
63776	117792
63488	117856
63776	118944
63488	118944
64128	117696
64096	116928
64096	118208
64192	118880
64000	119424
