TRAPX	TRAPY
49600	117952
49536	118304
49632	118816
50112	114432
49760	114496
49952	114240
49984	114720
49696	114848
50112	114976
49888	115584
49760	115328
50080	115584
49856	114976
50016	115264
50112	117664
49792	117696
49984	117920
49856	118208
49984	118464
49728	118464
49856	118720
50048	118816
49760	119072
49920	119072
50368	114432
50240	114176
50336	114912
50208	115328
50240	117920
50176	118368
51136	114080
51392	113472
51584	113696
51456	113952
51200	113728
51648	114560
51584	114208
51232	114592
51328	114208
51456	114496
51360	114848
51520	114816
51520	116704
51680	116928
51552	117216
51328	116960
51264	117312
51680	117472
51424	117472
51584	117728
51456	118080
51328	117824
51648	118080
51712	113440
51840	113696
51776	114144
51808	116672
51936	116928
51904	117376
51776	117824
52576	111104
52512	111456
52704	111584
52608	111968
53216	111040
53152	111520
53088	110784
52960	111040
52832	111328
52768	110848
52960	111584
53056	111936
52736	112224
52928	112192
52832	111872
53152	114240
53088	114592
53184	115104
53728	114656
53664	113952
53536	114208
53408	114464
53344	113984
53632	115072
53536	114720
53312	115360
53504	115328
53280	114720
53408	115008
53792	114208
