TRAPX	TRAPY
49216	112608
49216	112576
49216	112544
49216	112512
49216	112480
49248	112608
49248	112576
49248	112544
49248	112512
49248	112480
49248	112448
49216	112448
49216	112416
49248	112416
49216	112384
49248	112384
49216	112352
49248	112352
49216	112640
49216	112672
49216	112704
49216	112736
49216	112768
49216	112800
49216	112832
49216	112864
49248	112960
49248	112992
49248	112928
49248	112896
49248	112864
49248	112832
49248	112800
49248	112768
49248	112736
49248	112704
49248	112672
49248	112640
