10	凤翔府	成都府	大理府	汴京府	襄阳府	扬州府	临安府	江津村	龙门镇	巴陵县	南岳镇	龙泉村	稻香村	永乐镇	朱仙镇	石鼓镇	EX龙泉村
凤翔府	-1	20	50	30	30	40	50	-1	20	-1	-1	-1	-1	10	-1	-1	10
成都府	20	-1	30	30	30	40	50	10	-1	-1	-1	-1	-1	-1	-1	-1	10
大理府	50	30	-1	50	40	50	50	20	-1	-1	-1	-1	-1	-1	-1	10	10
汴京府	30	30	50	-1	20	30	50	-1	-1	-1	-1	-1	-1	-1	10	-1	10
襄阳府	30	30	40	20	-1	20	30	-1	-1	20	-1	-1	10	-1	-1	-1	10
扬州府	40	40	50	30	20	-1	20	-1	-1	-1	-1	-1	10	-1	-1	-1	10
临安府	50	50	50	50	30	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	10
江津村	-1	10	20	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	10
龙门镇	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
巴陵县	-1	-1	-1	-1	20	-1	-1	20	-1	-1	10	-1	-1	-1	-1	-1	10
南岳镇	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	10
龙泉村	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
稻香村	-1	-1	-1	-1	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
永乐镇	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
朱仙镇	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
石鼓镇	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
EX龙泉村	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	-1
