FromMapId	FromPosX	FromPosY	Type	Name	ToMapId	ToPosX	ToPosY	ToFightState	BeProtected	FromMap备注	ToMap备注		
1	50272	104608	trap	to_tianrenjiao	10	47104	106944	0		云中镇	天忍教		
1	43392	96064	trap	to_samanjiao	11	54272	103904	0		云中镇	萨满教		
1	41888	101216	trap	to_bianjingfu	23	51936	92608	0		云中镇	汴京府		
1	51296	103008	trap	to_guzhanchang	30	51936	129312	1	1	云中镇	古战场		
1	51392	103808	trap	to_zhendongmuyuan	38	50208	112928	1	1	云中镇	镇东墓园		
1	44320	95648	trap	to_chilechuan	114	61664	122176	1	1	云中镇	敕勒川		
2	53920	119744	trap	to_kunlunpai	12	57184	96352	0		龙门镇	昆仑派		
2	55840	119712	trap	to_fengxiangfu	24	50752	102784	0		龙门镇	凤翔府		
2	51200	113984	trap	to_longmenkezhan	31	65088	113600	1	1	龙门镇	龙门客栈		
2	51104	117984	trap	to_qilianshan	39	65120	104064	1	1	龙门镇	祁连山		
2	52928	102336	trap	to_jiayuguan	115	57376	103072	1	1	龙门镇	嘉峪关		
2	51840	106336	trap	to_dunhuanggucheng	123	60672	124832	1	1	龙门镇	敦煌古城		
2	52864	109536	trap	to_yueyaquan	131	62016	115872	1	1	龙门镇	月牙泉		
3	54464	108512	trap	to_wudangpai	14	48704	92960	0		永乐镇	武当派		
3	60576	99552	trap	to_shaolinpai	9	50624	104384	0		永乐镇	少林派		
3	56160	108256	trap	to_xiangyangfu	25	56928	95744	0		永乐镇	襄阳府		
3	58816	98880	trap	to_junmachang	32	51648	126624	1	1	永乐镇	军马场		
3	55264	97088	trap	to_tongguan	40	58112	124256	1	1	永乐镇	潼关		
3	53408	97088	trap	to_huashan	116	60512	122400	1	1	永乐镇	华山		
3	48992	99104	trap	to_afanggongfeixu	132	62912	120416	1	1	永乐镇	阿房宫废墟		
4	53600	108576	trap	to_gaibang	15	48992	104832	0		稻香村	丐帮		
4	55520	105696	trap	to_yangzhoufu	26	47104	98912	0		稻香村	扬州府		
4	48448	99456	trap	to_meihualing	33	63616	129536	1	1	稻香村	梅花岭		
4	49216	108960	trap	to_huaishuishazhou	41	63264	107968	1	1	稻香村	淮水沙洲		
4	56608	100864	trap	to_jianjudong	110	44224	104928	1	1	稻香村	荐菊洞		
4	54752	97632	trap	to_shugangmijing	117	57408	106048	1	1	稻香村	蜀冈秘境		
5	46432	100192	trap	to_tangmen	18	49696	106688	0		江津村	唐门		
5	46816	98176	trap	to_emeipai	16	45472	105600	0		江津村	峨嵋派		
5	49280	95104	trap	to_chengdufu	27	55552	107104	0		江津村	成都府		
5	49664	105152	trap	to_changjianghegu	34	54048	109024	1	1	江津村	长江河谷		
5	48352	104384	trap	to_shunanzhuhai	42	64896	109760	1	1	江津村	蜀南竹海		
5	55072	100224	trap	to_fengduguicheng	118	50688	125248	1	1	江津村	丰都鬼城		
5	55008	98112	trap	to_sanxiazhandao	126	48736	114944	1	1	江津村	三峡栈道		
6	46400	106080	trap	to_cuiyanmen	17	52640	105664	0		石鼓镇	翠烟门		
6	42848	99040	trap	to_daliduanshi	19	50816	107520	0		石鼓镇	大理段氏		
6	45184	97184	trap	to_dalifu	28	53088	110880	0		石鼓镇	大理府		
6	52704	93952	trap	to_baizushiji	35	64768	127328	1	1	石鼓镇	白族市集		
6	49984	94400	trap	to_chamagudao	43	62656	122560	1	1	石鼓镇	茶马古道		
6	53696	105952	trap	to_miaoling	119	48992	119360	1	1	石鼓镇	苗岭		
6	56384	102560	trap	to_yelangjiuxu	135	51296	117984	1	1	石鼓镇	夜郎旧墟		
7	54528	106176	trap	to_linanfu	29	57152	133312	0		龙泉村	临安府		
7	44640	106400	trap	to_wudujiao	20	51776	102304	0		龙泉村	五毒教		
7	49600	112864	trap	to_changgemen	21	50368	103616	0		龙泉村	长歌门		
7	53216	110624	trap	to_yandanglongqiu	36	51488	126176	1	1	龙泉村	雁荡龙湫		
7	51520	111328	trap	to_zhujianfang	44	49792	112288	1	1	龙泉村	铸剑坊		
7	44512	102848	trap	to_bangyuanmidong	113	60576	108256	1	1	龙泉村	帮源秘洞		
7	46624	110528	trap	to_wuyishan	120	57472	104928	1	1	龙泉村	武夷山		
8	52640	110880	trap	to_tianwangbang	22	50464	102304	0		巴陵县	天王帮		
8	51520	101056	trap	to_xiangyangfu	25	47136	105568	0		巴陵县	襄阳府		
8	58720	113344	trap	to_dongtinghupan	37	57216	104160	1	1	巴陵县	洞庭湖畔		
8	59808	106560	trap	to_yueyanglou	45	51680	122336	1	1	巴陵县	岳阳楼		
8	57792	114496	trap	to_mingjiao	224	46912	105568	0		巴陵县	明教		
8	49632	105984	trap	to_wulingshan	121	57984	107456	1	1	巴陵县	武陵山		
9	50464	104672	trap	to_yonglezhen	3	60448	100000	0		少林派	永乐镇		
9	57216	93696	trap	to_bianjingfu	23	44352	104576	0		少林派	汴京府		
9	50176	93984	trap	to_houshanjindi	46	64192	105792	1	1	少林派	后山禁地		
10	46848	106944	trap	to_yunzhongzhen	1	50176	104128	0		天忍教	云中镇		
10	49504	115424	trap	to_bianjingfu	23	52640	92736	0		天忍教	汴京府		
10	56576	95840	trap	to_tianrenjiaojindi	47	53152	117728	1	1	天忍教	天忍教禁地		
10	50816	114080	trap	bianjingfu_digong	10	52608	111776	0		汴京府入口	天忍教地宫		
10	48448	108320	trap	yunzhongzhen_digong	10	51424	109664	0		云中镇入口	天忍教地宫		
10	57664	100224	trap	tianrenjiaojindi_digong	10	56000	104832	0		天忍教禁地入口	天忍教地宫		
10	52480	112000	trap	digong_bianjingfu	10	50656	114272	0		天忍教地宫	汴京府入口		
10	51264	109472	trap	digong_yunzhongzhen	10	48320	108096	0		天忍教地宫	云中镇入口		
10	56160	104672	trap	digong_tianrenjiaojindi	10	57792	99968	0		天忍教地宫	天忍教禁地入口		
10	57984	118464	trap	digong_liangshanpo	10	55936	114208	0		天忍教地宫	梁山泊入口		
10	56192	114464	trap	liangshanpo_digong	10	58112	118752	0		梁山泊入口	天忍教地宫		
10	58464	118976	trap	to_liangshanpo	133	50496	105344	1	1	天忍教	梁山泊		
11	54528	104352	trap	to_yunzhongzhen	1	43712	96096	0		萨满教	云中镇		
11	49056	99232	trap	to_mengguwangting	130	56800	118624	1	1	萨满教	蒙古王庭		
12	57408	96064	trap	to_longmenzhen	2	53824	119104	0		昆仑派	龙门镇		
12	51616	103616	trap	to_fengxiangfu	24	48672	104768	0		昆仑派	凤翔府		
12	50240	97696	trap	to_jianxingfeng	48	60000	119200	1	1	昆仑派	见性峰		
