Name	Alpha	Red	Green	Blue
Black	255	0	0	0
White	255	255	255	255
Gray	255	130	130	130
Red	255	253	0	0
Red0	255	255	223	223
Red1	255	255	170	144
Red2	255	255	71	71
Red3	255	156	17	17
Green	255	43	201	44
LightGreen	255	144	226	144
GreenYellow	255	133	199	47
Green0	255	244	248	225
Green1	255	180	251	218
Green2	255	95	240	102
Green3	255	39	168	45
Wheat	255	255	220	166
Blue	255	100	125	255
LightBlue	255	173	186	255
Turquoise	255	60	190	210
Blue0	255	128	244	255
Blue1	255	140	198	255
Blue2	255	76	151	255
Blue3	255	56	77	237
Yellow	255	255	255	0
Orange	255	255	181	0
Salmon	255	255	119	121
Violet	255	233	169	253
Pink	255	255	0	255
Cyan	255	0	255	255
Metal	255	246	255	117
Wood	255	0	255	120
Water	255	78	124	255
Fire	255	255	90	0
Earth	255	254	207	179
DBlue	255	120	120	120
HBlue	255	100	100	255
BAttr	255	72	141	255
SAttr	255	102	104	215
Nor	255	245	245	245
Sock	255	225	207	226
Beset	255	72	141	255
Series	255	179	254	155
Gold	255	249	193	21
Purple	255	215	90	255
Hide	72	255	255	255
