Id	Name	NpcId	NpcLevel	NpcSeries	DeathMoney	DeathScore	ProductScore	ProductCD	ProductMoney	IsBuilding	ProductNpcId	LevelUpMoney	LevelUpCD	LevelUpNpc
ID	名字	NPCID	等级	五行	死亡对方获得金钱	死亡对方获得积分	造兵加积分	造兵CD 如果是建筑的话则是建造CD	造兵需要的钱数;如果是建筑的话则是造该建筑需要的钱数	是不是建筑	产兵的ID	升级需要的钱数	升级需要的CD	升级到的NPCID
1	金1	7170	100	0	2	2	0	25	0	0				
2	木1	7171	100	0	4	4	0	40	0	0				
3	土1	7172	100	0	3	3	0	25	0	0				
4	水1	7173	100	0	6	6	0	35	0	0				
5	火1	7174	100	0	5	5	0	35	0	0				
6	金2	7175	110	0	4	5	0	20	0	0				
7	木2	7176	110	0	6	7	0	35	0	0				
8	土2	7177	110	0	5	7	0	20	0	0				
9	水2	7178	110	0	10	12	0	35	0	0				
10	火2	7179	110	0	8	9	0	30	0	0				
11	金3	7180	120	0	8	22	0	20	0	0				
12	木3	7181	120	0	12	20	0	35	0	0				
13	土3	7182	120	0	10	16	0	20	0	0				
14	水3	7183	120	0	16	40	0	30	0	0				
15	火3	7184	120	0	14	30	0	30	0	0				
16	金出兵建筑1	7185	100	0	15	15	10	3	30	1	1	30	1	21
17	木出兵建筑1	7186	100	0	20	20	15	4	30	1	2	30	1	22
18	土出兵建筑1	7187	100	0	20	20	15	4	30	1	3	30	1	23
19	水出兵建筑1	7188	100	0	15	15	10	3	30	1	4	30	1	24
20	火出兵建筑1	7189	100	0	18	18	13	5	35	1	5	55	1	25
21	金出兵建筑2	7190	100	0	15	15	0	0	0	1	6	100	1	26
22	木出兵建筑2	7191	100	0	20	20	0	0	0	1	7	100	1	27
23	土出兵建筑2	7192	100	0	20	20	0	0	0	1	8	100	1	28
24	水出兵建筑2	7193	100	0	15	15	0	0	0	1	9	100	1	29
25	火出兵建筑2	7194	100	0	18	18	0	0	0	1	10	80	1	30
26	金出兵建筑3	7195	100	0	15	15	0	0	0	1	11	0	0	
27	木出兵建筑3	7196	100	0	20	20	0	0	0	1	12	0	0	
28	土出兵建筑3	7197	100	0	20	20	0	0	0	1	13	0	0	
29	水出兵建筑3	7198	100	0	15	15	0	0	0	1	14	0	0	
30	火出兵建筑3	7199	100	0	18	18	0	0	0	1	15	0	0	
31	哨塔	7201	100	0	100	100	50	10	40	1				
