TRAPX	TRAPY	Direct	Range
51584	104096	2	2
51584	103552	2	2
52192	103360	2	2
52064	103200	2	2
51872	103296	2	2
51936	103072	2	2
52192	103904	2	2
51968	103968	2	2
52128	104096	2	2
51776	104032	2	2
51904	104160	2	2
52064	104288	2	2
51712	104224	2	2
51840	104384	2	2
52000	103424	2	2
51776	103488	2	2
52192	104448	2	2
52000	104512	2	2
52128	104640	2	2
52576	103744	2	2
52512	103936	2	2
52384	103808	2	2
52640	104064	2	2
52320	104032	2	2
52448	104160	2	2
52576	104288	2	2
52256	104224	2	2
52384	104352	2	2
52512	104512	2	2
52320	104576	2	2
50496	102496	1	2
50656	102624	1	2
50656	103168	1	2
50528	103040	1	2
50592	102848	1	2
50464	102688	1	2
50368	102912	1	2
50912	102336	1	2
51040	102496	1	2
50720	102432	1	2
50848	102560	1	2
50976	102688	1	2
51136	102816	1	2
50784	102752	1	2
50912	102880	1	2
51072	103040	1	2
50848	103104	1	2
51008	103232	1	2
50784	103328	1	2
50720	102944	1	2
50944	103456	1	2
51264	102432	1	2
51200	102624	1	2
51648	102816	1	2
51584	103008	1	2
51520	103232	1	2
51648	103360	1	2
51456	103424	1	2
51776	102944	1	2
51712	103168	1	2
