TRAPX	TRAPY
53728	101344
53440	101632
53472	101600
53504	101568
53536	101536
53568	101504
53600	101472
53632	101440
53664	101408
53696	101376
53760	101312
53792	101280
53824	101248
53856	101216
53888	101184
53920	101152
53952	101120
53984	101088
54016	101056
54048	101024
54080	100992
54112	100960
54144	100928
54176	100896
54208	100864
54240	100832
54272	100800
54304	100768
54336	100736
54368	100704
54400	100672
54432	100640
54464	100608
54496	100576
54528	100544
54560	100512
54592	100480
54624	100448
54656	100416
