TRAPX	TRAPY
50080	102048
50080	102368
50080	102688
50112	102976
50208	101952
50400	101920
50592	101920
50560	102272
50464	102144
50592	102752
50656	103008
50368	102528
50336	102784
50336	103200
50496	103360
50240	103328
50208	102528
50496	102464
50528	103072
50880	101920
51040	101888
51104	102144
50912	102144
51136	102496
51040	102848
51040	103200
50912	102816
50912	103136
50688	103392
50880	103424
51264	101856
51488	101824
51520	102048
51488	102304
51296	102208
51456	102528
51392	102816
51328	102528
51264	102816
51328	103136
